FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
5133,39.3,0.17,8.3,18.56,54.72,0.08,77.74,27.81,0,88.09,0,
5135,41.8,0.2,7.78,12.68,60.92,1.66,22.02,15.99,0.25,73.32,,0.34
5137,41.1,0.13,8.05,15.79,50.77,0.47,30.25,6.67,0,42.32,0,
5139,5.5,0.07,1.23,20.11,32.69,,10.86,20.09,,47.6,0,0.56
5141,28.1,0.1,4.76,13.64,48.32,0,21.72,16.71,0,44.45,0,0.03
5143,52.5,0.1,14.12,23.22,54.07,0.12,44.56,3.44,,60.99,0.05,0.16
5145,52,12.1,23.13,31.61,32.05,6.53,9.21,23.87,0.58,46.51,,3.4
5147,68,69.67,60.71,80.52,2.15,2.26,5.79,36.54,4.96,90.83,2.42,18.02
5149,32.6,0.76,9.64,25.35,48.71,2.1,60.78,15.71,0,60.82,0,
6001,38.8,4.1,3.66,3.95,84.62,0,,28.66,4.4,34.52,0.5,19.99
6003,0.7,,,,,0,,,,,,
6005,47.7,5.71,3.85,4.52,88.32,0,1.31,32.16,1.94,42.01,1.17,7.31
6007,33.3,55.28,20.45,54.88,31.78,,2.7,63.43,3.09,78.06,9.91,55.14
6009,36.7,2.43,2.27,1.37,88.19,0,1.97,19.23,0.22,36.8,0.75,1.47
6011,62,51.16,37.68,54.05,34.44,0.26,1.77,69.07,3.32,81.68,9.69,39.41
6013,33.9,14.54,9.04,19.37,66.04,0,0.38,33.43,,100.14,4.12,10.5
6015,3.1,45.9,1.22,27.06,57.81,0,20.89,5.64,2.89,5.19,0,3.22
6017,8.3,6.15,0.77,6.04,66.99,,20.23,20.82,2.28,37.73,4.39,21.25
6019,43.2,59.07,29.97,60.86,28.63,0.03,6.49,79.29,18.46,80.07,14.01,34.07
6021,55.5,52.1,31.52,49.15,37.2,,0.94,77.04,5.92,89.69,4.9,41.85
6023,27.2,3.34,0.9,2.26,83.46,0.01,43.46,4.01,,12.53,,0.88
6025,19.5,87.42,18.86,89.6,2.47,,1.76,86.59,7.46,75.87,1.83,10.71
6027,4.4,5.96,0.21,0.74,95.25,0,,0,0,7.47,0,0
6029,44.1,31.83,18.33,32.55,55.75,0.21,3.02,75.35,14.12,74.06,19.78,34.71
6031,69.3,60.34,54.93,63.73,10.99,0,7.04,76.96,3.58,76.96,27.51,15.78
6033,17.2,10.05,2.5,11.14,70.11,0,1.88,44.03,5.05,47.27,5.78,32.21
6035,16.3,11.32,1.94,7.64,85.53,0,3.36,37.26,,70.73,,0.35
6037,2.2,23.87,1.14,22.15,35.24,0.62,2.49,40.33,,42.26,0.54,7.18
6039,47.2,46.52,25.31,46.45,43.82,0.03,8.93,74.12,11.95,72.04,11.57,32.71
6041,42,3.55,4.13,7.24,85.77,0,90.72,3.49,0.18,45.71,,1.47
6043,32.5,0.92,0.63,0.21,97.55,0,40.21,,,15.16,,1.32
6045,34.8,3.57,2.87,3.95,70.94,,4.67,26.07,3.54,40.91,1.86,22.08
6047,76.4,52.17,44.12,52.56,39.4,0.27,21.17,84.32,12.03,82.58,16.19,26.2
6049,22.8,24.88,6.38,20.25,64.65,,4.94,31.07,3.66,50.61,1.37,3.93
6051,3.7,57.15,0.41,10.39,86.18,0,13.21,19.98,0,56.44,0,0
6053,63.8,21.98,17.47,22.34,67.02,0.68,9.13,85.88,25.21,84.23,4.14,38.09
6055,53.4,23.83,14.14,23.84,39.7,,4.91,49.68,10.21,59.59,11.72,60.91
6057,8.5,9.51,0.79,6.36,74.08,0,10.15,6.77,4.55,24.09,1.14,4.24
6059,6.4,13.01,1.89,17.91,,0,1.78,41.25,6.88,52.58,1.09,24.55
6061,13.2,17.03,3.16,11.46,80.11,,8.95,11.56,0.63,37.85,0.18,8.74
6063,11.7,9.6,1.79,8.05,64.83,0.19,0.73,,0,8.91,0,0
6065,5.7,47.85,3.9,54.45,18.61,,3.19,67,8.32,66.89,17.23,11.95
6067,42.1,38.58,19.23,38.86,49.27,,4.51,51.51,3.85,77.56,7.36,18.52
6069,58.5,3.48,4,4.05,84.78,,1.34,46.6,5.11,47.04,4.63,21.63
6071,0.5,32.55,0.23,32.46,40.45,,22.28,46.71,6.92,54.64,2.66,7.58
6073,8.2,19.2,2.38,22.1,52.16,,4.65,35.28,2.14,37.89,7.41,14.59
6075,0.3,,,,0,0,,,,,,
6077,86.7,63.04,58.84,62.48,29.21,0.27,3.9,74.75,7.25,79.97,9.01,33.17
6079,44.1,8.14,11.66,9.82,70.96,2.98,2.02,22.31,3.79,29.74,2.05,11.94
6081,16,6.58,2.4,8.21,63.88,0,13.76,19.27,10.16,22.04,,11.51
6083,40.8,16.77,8.36,16.83,68.99,0,3.1,83.08,12.93,79.81,5.97,29.72
6085,34.9,6.67,4.15,7.42,68.57,0,4.25,47.29,13.16,50.02,1.25,22.77
6087,22.4,31.52,8.24,32.6,45.15,,2.52,76.07,23.73,51.8,13.6,43.27
6089,17,11.9,1.61,6.78,71.8,0,4.92,16.01,0.27,46.71,0.27,0.92
6091,9.3,17.88,0.61,4.51,87.58,0,,0,0,,0,0
6093,17.1,16.82,3.55,12.8,67.82,1.09,5.09,30.32,2.23,33.19,,2.25
6095,65.1,32.22,28.93,33.83,52.71,0.16,1.98,48.52,3.35,92.82,5.11,15.79
6097,56.2,15.24,12.88,17.12,53.71,0,17.06,31.17,8.1,50.27,6.79,24.8
6099,75.5,52.67,42.27,51.7,37.62,,17.51,79.41,7.22,80.98,8.81,40.66
6101,98.8,52.17,66.75,54.22,26.69,,1.4,60.37,7.87,73.84,8.17,30.78
6103,32.5,11.86,4.09,9.78,80.73,0.12,4.44,57.16,3.52,64.99,5.33,43.69
6105,3.2,,0.09,1.31,87.1,0,15.95,11.17,,,,2.01
6107,40.5,45.45,23.36,48.01,41.99,0.01,12.1,68.72,7.83,73.73,15.83,23.72
6109,8.6,2.12,0.11,0.75,95.17,0,88.15,85.39,,119.42,,8.03
6111,22,37.71,10.46,37.39,46.78,0.29,2.65,76.18,13.5,68.6,4.37,24.99
6113,70.8,51.06,48.16,57.26,29.65,0.52,2.29,52.51,2.93,80.43,7.67,33.63
6115,44.4,40.36,19.61,38.06,42.24,0,1.88,67.16,2.51,75.87,15.86,51.68
8001,94.4,3.06,78.55,40.2,16.42,4.87,1.6,5.92,0.04,58.94,0.24,4.54
8003,41.5,41.42,17.53,30.95,54.15,1.95,7.36,24.29,10.88,45.05,12.52,21.47
8005,55.4,0.41,26.8,15.75,50.25,4.8,1.53,3.55,0,51.2,,
8007,24.3,8.72,1.45,3.87,81.71,,23.67,,0,44.69,0,0
8009,90,3.09,45.4,,49.01,17.48,0.1,11.27,,55.63,0,0.76
8011,75.9,5.29,9.63,,86.81,4.39,5.92,93.98,0,80.89,0,1
8013,23,25.44,8.2,26.97,55.51,,12.42,15.03,0.67,34.63,0.09,1.88
8014,40.3,14.47,36.43,26.11,4.23,0,7.9,3.04,0,30.49,0,0
8015,10.2,24.83,2.64,18.73,68.54,,11.44,4.48,0,5.1,,
8017,94.5,2.19,52.64,28.72,43.87,11.15,0.08,12.25,,65.95,0,10.6
8019,4.1,2.76,0.37,4.38,83.13,0,,0,0,29.22,0,0
8021,32.3,44.88,15.95,38.9,48.67,0.51,6.32,3,0,6.83,1.27,0
8023,45.5,11,6.44,8.74,36.71,0.03,8.55,8.11,3.53,13.21,,
8025,96.1,0.97,6.15,,93.13,2.89,6.98,4.09,,29.03,,
8027,34.1,13.98,6.13,12.72,79.37,,12.53,0.97,0,7.32,0,
8029,32.4,28.19,9.49,20.78,64.37,0.95,9.69,17.13,0.24,18.68,0.43,1.86
8031,0.1,,0.04,,20.93,0,0,0,0,,0,0
8033,23.1,4.59,10.23,19.69,48.16,11.46,0.65,5.25,0,19.87,0,0
8035,37.5,1.13,4.93,6.14,81.27,0.41,21.25,4.15,0.06,53.92,0.06,0.06
8037,14.4,9.52,1.42,7.99,67.05,,14,0.91,0,27.51,0,0
8039,86,0.66,16.03,7.65,80.34,3.57,3.97,,,30.42,,1.96
8041,46.3,1.42,3.79,2.88,90.43,3.33,26.02,3.87,,13.25,,
8043,28.3,4.05,1.54,3.48,90.4,1.01,16.41,4.62,,8.41,,0.44
8045,25.2,10.94,4.1,8.81,78.09,0.09,8.98,6.47,,46.76,,
8047,4.1,,0.5,3.71,37.23,,,0,0,21.69,0,0
8049,20.4,15.06,3.09,12.84,82.35,0,8.45,2.7,0,9.63,0,0
8051,12.9,21.61,2.38,15.44,80.34,0,15.48,0.11,0,23.07,0,6.08
8053,1.5,23.49,0.15,9.04,85.59,0,0,0,0,,0,0
8055,57.1,1.47,1.91,1.57,95.49,0.17,3.16,0.04,0,11.65,0,0
8057,29.2,23.37,6.53,20.27,76.56,0.03,8.28,0.48,0,,0,0
8059,14,1.74,1.11,4.91,76.48,0.54,13.53,1.63,,83.2,,
8061,96.5,0.25,59.78,,38.34,15.73,0.05,5.69,0,65.5,0,3.98
8063,98.2,8.68,64.41,36.64,34.26,5.46,0.51,10.68,,80.29,,11.15
8065,4.9,15.67,0.22,4.44,84.89,0,71.7,0,0,,0,0
8067,50.8,10.66,8.29,7.22,64.5,1.6,12.07,3.5,,19.75,0,
